,affairs,affair_status,gender,age,yearsmarried,children,religiousness,education,occupation,rating
516,2,Yes,male,57.0,15.0,yes,1,17,4,4
517,7,Yes,female,42.0,15.0,yes,4,14,5,2
518,7,Yes,male,37.0,10.0,yes,1,18,5,3
519,3,Yes,male,42.0,15.0,yes,3,17,6,1
520,1,Yes,female,52.0,15.0,yes,3,14,4,4
521,2,Yes,female,27.0,7.0,yes,3,17,5,3
522,12,Yes,male,32.0,7.0,yes,2,12,4,2
523,1,Yes,male,22.0,4.0,no,4,14,2,5
524,3,Yes,male,27.0,7.0,yes,3,18,6,4
525,12,Yes,female,37.0,15.0,yes,1,18,5,5
526,7,Yes,female,32.0,15.0,yes,3,17,1,3
527,7,Yes,female,27.0,7.0,no,2,17,5,5
528,1,Yes,female,32.0,7.0,yes,3,17,5,3
529,1,Yes,male,32.0,1.5,yes,2,14,2,4
530,12,Yes,female,42.0,15.0,yes,4,14,1,2
531,7,Yes,male,32.0,10.0,yes,3,14,5,4
532,7,Yes,male,37.0,4.0,yes,1,20,6,3
533,1,Yes,female,27.0,4.0,yes,2,16,5,3
534,12,Yes,female,42.0,15.0,yes,3,14,4,3
535,1,Yes,male,27.0,10.0,yes,5,20,6,5
536,12,Yes,male,37.0,10.0,yes,2,20,6,2
537,12,Yes,female,27.0,7.0,yes,1,14,3,3
538,3,Yes,female,27.0,7.0,yes,4,12,1,2
539,3,Yes,male,32.0,10.0,yes,2,14,4,4
540,12,Yes,female,17.5,0.75,yes,2,12,1,3
541,12,Yes,female,32.0,15.0,yes,3,18,5,4
542,2,Yes,female,22.0,7.0,no,4,14,4,3
543,1,Yes,male,32.0,7.0,yes,4,20,6,5
544,7,Yes,male,27.0,4.0,yes,2,18,6,2
545,1,Yes,female,22.0,1.5,yes,5,14,5,3
546,12,Yes,female,32.0,15.0,no,3,17,5,1
547,12,Yes,female,42.0,15.0,yes,2,12,1,2
548,7,Yes,male,42.0,15.0,yes,3,20,5,4
549,12,Yes,male,32.0,10.0,no,2,18,4,2
550,12,Yes,female,32.0,15.0,yes,3,9,1,1
551,7,Yes,male,57.0,15.0,yes,5,20,4,5
552,12,Yes,male,47.0,15.0,yes,4,20,6,4
553,2,Yes,female,42.0,15.0,yes,2,17,6,3
554,12,Yes,male,37.0,15.0,yes,3,17,6,3
555,12,Yes,male,37.0,15.0,yes,5,17,5,2
556,7,Yes,male,27.0,10.0,yes,2,20,6,4
557,2,Yes,male,37.0,15.0,yes,2,16,5,4
558,12,Yes,female,32.0,15.0,yes,1,14,5,2
559,7,Yes,male,32.0,10.0,yes,3,17,6,3
560,2,Yes,male,37.0,15.0,yes,4,18,5,1
561,7,Yes,female,27.0,1.5,no,2,17,5,5
562,3,Yes,female,47.0,15.0,yes,2,17,5,2
563,12,Yes,male,37.0,15.0,yes,2,17,5,4
564,12,Yes,female,27.0,4.0,no,2,14,5,5
565,2,Yes,female,27.0,10.0,yes,4,14,1,5
566,1,Yes,female,22.0,4.0,yes,3,16,1,3
567,12,Yes,male,52.0,7.0,no,4,16,5,5
568,2,Yes,female,27.0,4.0,yes,1,16,3,5
569,7,Yes,female,37.0,15.0,yes,2,17,6,4
570,2,Yes,female,27.0,4.0,no,1,17,3,1
571,12,Yes,female,17.5,0.75,yes,2,12,3,5
572,7,Yes,female,32.0,15.0,yes,5,18,5,4
573,7,Yes,female,22.0,4.0,no,1,16,3,5
574,2,Yes,male,32.0,4.0,yes,4,18,6,4
575,1,Yes,female,22.0,1.5,yes,3,18,5,2
576,3,Yes,female,42.0,15.0,yes,2,17,5,4
577,1,Yes,male,32.0,7.0,yes,4,16,4,4
578,12,Yes,male,37.0,15.0,no,3,14,6,2
579,1,Yes,male,42.0,15.0,yes,3,16,6,3
580,1,Yes,male,27.0,4.0,yes,1,18,5,4
581,2,Yes,male,37.0,15.0,yes,4,20,7,3
582,7,Yes,male,37.0,15.0,yes,3,20,6,4
583,3,Yes,male,22.0,1.5,no,2,12,3,3
584,3,Yes,male,32.0,4.0,yes,3,20,6,2
585,2,Yes,male,32.0,15.0,yes,5,20,6,5
586,12,Yes,female,52.0,15.0,yes,1,18,5,5
587,12,Yes,male,47.0,15.0,no,1,18,6,5
588,3,Yes,female,32.0,15.0,yes,4,16,4,4
589,7,Yes,female,32.0,15.0,yes,3,14,3,2
590,7,Yes,female,27.0,7.0,yes,4,16,1,2
591,12,Yes,male,42.0,15.0,yes,3,18,6,2
592,7,Yes,female,42.0,15.0,yes,2,14,3,2
593,12,Yes,male,27.0,7.0,yes,2,17,5,4
594,3,Yes,male,32.0,10.0,yes,4,14,4,3
595,7,Yes,male,47.0,15.0,yes,3,16,4,2
596,1,Yes,male,22.0,1.5,yes,1,12,2,5
597,7,Yes,female,32.0,10.0,yes,2,18,5,4
598,2,Yes,male,32.0,10.0,yes,2,17,6,5
599,2,Yes,male,22.0,7.0,yes,3,18,6,2
600,1,Yes,female,32.0,15.0,yes,3,14,1,5
