,affairs,affair_status,gender,age,yearsmarried,children,religiousness,education,occupation,rating,,"Questions - in each case write your interpretation. Affair value >0 = affair, otherwise no affair"
758,7,Yes,male,22,4,yes,3,18,6,4,,
770,7,Yes,male,42,15,yes,4,20,6,4,,
786,2,Yes,female,57,15,yes,1,18,5,4,,
797,7,Yes,female,32,4,yes,3,18,5,2,,
811,1,Yes,male,27,4,yes,1,16,4,4,,
834,7,Yes,male,32,7,yes,4,16,1,4,,
858,2,Yes,male,57,15,yes,1,17,4,4,,
885,7,Yes,female,42,15,yes,4,14,5,2,,
893,7,Yes,male,37,10,yes,1,18,5,3,,
927,3,Yes,male,42,15,yes,3,17,6,1,,
928,1,Yes,female,52,15,yes,3,14,4,4,,
933,2,Yes,female,27,7,yes,3,17,5,3,,
951,12,Yes,male,32,7,yes,2,12,4,2,,
968,1,Yes,male,22,4,no,4,14,2,5,,
972,3,Yes,male,27,7,yes,3,18,6,4,,
975,12,Yes,female,37,15,yes,1,18,5,5,,
977,7,Yes,female,32,15,yes,3,17,1,3,,
981,7,Yes,female,27,7,no,2,17,5,5,,
986,1,Yes,female,32,7,yes,3,17,5,3,,
1002,1,Yes,male,32,1.5,yes,2,14,2,4,,
1007,12,Yes,female,42,15,yes,4,14,1,2,,
1011,7,Yes,male,32,10,yes,3,14,5,4,,
1035,7,Yes,male,37,4,yes,1,20,6,3,,
1050,1,Yes,female,27,4,yes,2,16,5,3,,
1056,12,Yes,female,42,15,yes,3,14,4,3,,
1057,1,Yes,male,27,10,yes,5,20,6,5,,
1075,12,Yes,male,37,10,yes,2,20,6,2,,
1080,12,Yes,female,27,7,yes,1,14,3,3,,
1125,3,Yes,female,27,7,yes,4,12,1,2,,
1131,3,Yes,male,32,10,yes,2,14,4,4,,
1138,12,Yes,female,17.5,0.75,yes,2,12,1,3,,
1150,12,Yes,female,32,15,yes,3,18,5,4,,
1163,2,Yes,female,22,7,no,4,14,4,3,,
1169,1,Yes,male,32,7,yes,4,20,6,5,,
1198,7,Yes,male,27,4,yes,2,18,6,2,,
1204,1,Yes,female,22,1.5,yes,5,14,5,3,,
1218,12,Yes,female,32,15,no,3,17,5,1,,
1230,12,Yes,female,42,15,yes,2,12,1,2,,
1236,7,Yes,male,42,15,yes,3,20,5,4,,
1247,12,Yes,male,32,10,no,2,18,4,2,,
1259,12,Yes,female,32,15,yes,3,9,1,1,,
1294,7,Yes,male,57,15,yes,5,20,4,5,,
1353,12,Yes,male,47,15,yes,4,20,6,4,,
1370,2,Yes,female,42,15,yes,2,17,6,3,,
1427,12,Yes,male,37,15,yes,3,17,6,3,,
1445,12,Yes,male,37,15,yes,5,17,5,2,,
1460,7,Yes,male,27,10,yes,2,20,6,4,,
1480,2,Yes,male,37,15,yes,2,16,5,4,,
1505,12,Yes,female,32,15,yes,1,14,5,2,,
1543,7,Yes,male,32,10,yes,3,17,6,3,,
1548,2,Yes,male,37,15,yes,4,18,5,1,,
1550,7,Yes,female,27,1.5,no,2,17,5,5,,
1561,3,Yes,female,47,15,yes,2,17,5,2,,
1564,12,Yes,male,37,15,yes,2,17,5,4,,
1573,12,Yes,female,27,4,no,2,14,5,5,,
1575,2,Yes,female,27,10,yes,4,14,1,5,,
1599,1,Yes,female,22,4,yes,3,16,1,3,,
1622,12,Yes,male,52,7,no,4,16,5,5,,
1629,2,Yes,female,27,4,yes,1,16,3,5,,
1664,7,Yes,female,37,15,yes,2,17,6,4,,
1669,2,Yes,female,27,4,no,1,17,3,1,,
1674,12,Yes,female,17.5,0.75,yes,2,12,3,5,,
1682,7,Yes,female,32,15,yes,5,18,5,4,,
1685,7,Yes,female,22,4,no,1,16,3,5,,
1697,2,Yes,male,32,4,yes,4,18,6,4,,
1716,1,Yes,female,22,1.5,yes,3,18,5,2,,
1730,3,Yes,female,42,15,yes,2,17,5,4,,
1731,1,Yes,male,32,7,yes,4,16,4,4,,
1732,12,Yes,male,37,15,no,3,14,6,2,,
1743,1,Yes,male,42,15,yes,3,16,6,3,,
1751,1,Yes,male,27,4,yes,1,18,5,4,,
1757,2,Yes,male,37,15,yes,4,20,7,3,,
1763,7,Yes,male,37,15,yes,3,20,6,4,,
1766,3,Yes,male,22,1.5,no,2,12,3,3,,
1772,3,Yes,male,32,4,yes,3,20,6,2,,
1776,2,Yes,male,32,15,yes,5,20,6,5,,
1782,12,Yes,female,52,15,yes,1,18,5,5,,
1784,12,Yes,male,47,15,no,1,18,6,5,,
1791,3,Yes,female,32,15,yes,4,16,4,4,,
1831,7,Yes,female,32,15,yes,3,14,3,2,,
1840,7,Yes,female,27,7,yes,4,16,1,2,,
1844,12,Yes,male,42,15,yes,3,18,6,2,,
1856,7,Yes,female,42,15,yes,2,14,3,2,,
1876,12,Yes,male,27,7,yes,2,17,5,4,,
1929,3,Yes,male,32,10,yes,4,14,4,3,,
1935,7,Yes,male,47,15,yes,3,16,4,2,,
1938,1,Yes,male,22,1.5,yes,1,12,2,5,,
1941,7,Yes,female,32,10,yes,2,18,5,4,,
1954,2,Yes,male,32,10,yes,2,17,6,5,,
1959,2,Yes,male,22,7,yes,3,18,6,2,,
9010,1,Yes,female,32,15,yes,3,14,1,5,,
